Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU
0,scenario_1.txt,47105,145307,1,0,0,202.14,117.3
0,scenario_10.txt,19112,58980,2,0,4,120.18,2357.3
0,scenario_11.txt,55881,172321,3,0,0,65.31,282.31
0,scenario_12.txt,29295,90433,1,0,0,132.04,9.51
0,scenario_13.txt,34081,105219,2,0,0,99.92,19.27
0,scenario_14.txt,38822,119806,0,0,0,92.73,10.42
0,scenario_15.txt,56507,174191,1,0,0,259.0,1580.76
0,scenario_16.txt,33379,103077,2,0,0,79.78,395.11
0,scenario_17.txt,43915,135489,0,0,0,568.43,0.5
0,scenario_18.txt,39127,120749,1,0,0,594.32,66.66
0,scenario_19.txt,53210,164114,5,0,0,169.61,370.62
0,scenario_2.txt,47405,146209,0,0,0,306.57,2550.55
0,scenario_20.txt,49725,153355,0,0,0,389.03,0.57
0,scenario_3.txt,56331,173651,1,0,0,234.85,522.07
0,scenario_4.txt,50671,156253,0,0,0,214.56,549.99
0,scenario_5.txt,56348,173712,2,0,1,779.87,6141.17
0,scenario_6.txt,49575,152935,3,0,0,307.18,424.58
0,scenario_7.txt,38447,118663,0,0,5,204.16,1014.97
0,scenario_8.txt,59840,184454,4,0,0,554.67,1151.85
0,scenario_9.txt,67073,206615,1,0,0,200.72,985.19
petite_instance,scenario_1.dat,21959,67185,1,0,103,50.0,188.56
